bg_key,cell_line,score,type
Hela__KO1,Hela,0.9996749,generated
Hela__WT2,Hela,0.99981314,generated
PANC-1__OE1,PANC-1,0.99988675,generated
Hela__KO1,Hela,0.99249554,generated
PANC-1__OE1,PANC-1,0.9903086,generated
Hela__WT3,Hela,0.9992066,generated
PANC-1__WT3,PANC-1,0.9294244,generated
Hela__WT3,Hela,0.9996958,generated
PANC-1__WT1,PANC-1,0.9997253,generated
PANC-1__WT2,PANC-1,0.9994055,generated
PANC-1__OE3,PANC-1,0.9878501,generated
Hela__KO3,Hela,0.99995136,generated
Hela__WT2,Hela,0.9973111,generated
Hela__WT2,Hela,0.9997726,generated
Hela__WT1,Hela,0.99974436,generated
PANC-1__OE3,PANC-1,0.99976474,generated
PANC-1__OE2,PANC-1,0.9980483,generated
Hela__KO3,Hela,0.9999205,generated
PANC-1__WT2,PANC-1,0.9994117,generated
PANC-1__OE1,PANC-1,0.9974597,generated
PANC-1__OE3,PANC-1,0.99975437,generated
Hela__WT1,Hela,0.99683493,generated
Hela__WT1,Hela,0.9998435,generated
PANC-1__OE1,PANC-1,0.9700827,generated
PANC-1__WT1,PANC-1,0.9997372,generated
Hela__KO2,Hela,0.9997217,generated
Hela__WT1,Hela,0.9998627,generated
Hela__WT1,Hela,0.99927276,generated
Hela__WT3,Hela,0.99924266,generated
Hela__WT2,Hela,0.9980483,generated
PANC-1__OE1,PANC-1,0.9995352,generated
PANC-1__WT1,PANC-1,0.9990048,generated
PANC-1__OE1,PANC-1,0.9745856,generated
PANC-1__OE3,PANC-1,0.9998841,generated
Hela__KO1,Hela,0.99953747,generated
PANC-1__WT2,PANC-1,0.9592699,generated
PANC-1__OE1,PANC-1,0.99343926,generated
PANC-1__WT3,PANC-1,0.9977223,generated
Hela__KO3,Hela,0.9998293,generated
Hela__WT3,Hela,0.99932384,generated
PANC-1__WT1,PANC-1,0.99972385,generated
PANC-1__WT3,PANC-1,0.8947042,generated
Hela__KO2,Hela,0.9986349,generated
Hela__WT1,Hela,0.99803585,generated
PANC-1__WT3,PANC-1,0.9908738,generated
PANC-1__OE1,PANC-1,0.9908251,generated
Hela__WT3,Hela,0.99986637,generated
PANC-1__OE3,PANC-1,0.9991353,generated
Hela__KO1,Hela,0.99621874,generated
Hela__KO2,Hela,0.9994698,generated
PANC-1__OE3,PANC-1,0.9927919,generated
Hela__KO3,Hela,0.9983531,generated
Hela__WT3,Hela,0.9999292,generated
Hela__KO2,Hela,0.99977034,generated
Hela__KO1,Hela,0.99996364,generated
Hela__KO3,Hela,0.99977154,generated
PANC-1__OE2,PANC-1,0.99914825,generated
PANC-1__OE1,PANC-1,0.9999442,generated
Hela__KO2,Hela,0.9998222,generated
PANC-1__OE3,PANC-1,0.99983335,generated
PANC-1__WT3,PANC-1,0.9990688,generated
PANC-1__WT3,PANC-1,0.95822674,generated
Hela__WT3,Hela,0.99429494,generated
Hela__KO2,Hela,0.999754,generated
PANC-1__OE3,PANC-1,0.9975943,generated
Hela__KO2,Hela,0.9990707,generated
PANC-1__OE3,PANC-1,0.99690115,generated
PANC-1__WT3,PANC-1,0.9957833,generated
PANC-1__WT1,PANC-1,0.9996878,generated
Hela__KO1,Hela,0.9999645,generated
PANC-1__WT3,PANC-1,0.99961793,generated
Hela__KO2,Hela,0.9999325,generated
PANC-1__WT3,PANC-1,0.94970196,generated
Hela__KO1,Hela,0.9994604,generated
PANC-1__OE2,PANC-1,0.9998524,generated
PANC-1__WT3,PANC-1,0.9988788,generated
Hela__WT1,Hela,0.9993793,generated
PANC-1__WT2,PANC-1,0.9905799,generated
Hela__WT1,Hela,0.99773765,generated
PANC-1__OE1,PANC-1,0.999231,generated
PANC-1__WT1,PANC-1,0.99925905,generated
Hela__KO3,Hela,0.99929106,generated
Hela__WT2,Hela,0.99838364,generated
PANC-1__WT1,PANC-1,0.9955245,generated
PANC-1__WT2,PANC-1,0.9985197,generated
PANC-1__OE3,PANC-1,0.99759847,generated
PANC-1__OE2,PANC-1,0.9921822,generated
PANC-1__OE2,PANC-1,0.9993482,generated
Hela__WT2,Hela,0.999833,generated
PANC-1__WT2,PANC-1,0.9992168,generated
Hela__KO1,Hela,0.9987206,generated
Hela__KO2,Hela,0.9993375,generated
PANC-1__WT3,PANC-1,0.9909504,generated
PANC-1__OE3,PANC-1,0.99522495,generated
Hela__WT2,Hela,0.995743,generated
Hela__KO3,Hela,0.99941134,generated
Hela__WT1,Hela,0.9997912,generated
PANC-1__WT3,PANC-1,0.9550756,generated
Hela__KO1,Hela,0.99957556,generated
Hela__WT2,Hela,0.9994899,generated
PANC-1__WT2,PANC-1,0.99987304,generated
Hela__WT3,Hela,0.9998273,generated
Hela__KO2,Hela,0.9877779,generated
Hela__WT1,Hela,0.99949026,generated
Hela__KO2,Hela,0.999713,generated
Hela__WT1,Hela,0.99996996,generated
PANC-1__WT1,PANC-1,0.9995751,generated
Hela__WT3,Hela,0.9998809,generated
Hela__KO3,Hela,0.99971384,generated
Hela__KO1,Hela,0.99884796,generated
PANC-1__OE3,PANC-1,0.99942684,generated
Hela__KO1,Hela,0.9994967,generated
PANC-1__OE2,PANC-1,0.99486613,generated
PANC-1__WT3,PANC-1,0.9954094,generated
Hela__KO3,Hela,0.99967515,generated
PANC-1__OE2,PANC-1,0.9940023,generated
PANC-1__WT1,PANC-1,0.9965585,generated
Hela__WT3,Hela,0.9999466,generated
PANC-1__WT1,PANC-1,0.9986706,generated
Hela__KO2,Hela,0.99962664,generated
Hela__WT1,Hela,0.99987257,generated
PANC-1__OE2,PANC-1,0.9996772,generated
Hela__WT2,Hela,0.99798524,generated
PANC-1__WT1,PANC-1,0.9782096,generated
PANC-1__WT1,PANC-1,0.9981736,generated
Hela__KO3,Hela,0.9995567,generated
PANC-1__WT1,PANC-1,0.99139774,generated
PANC-1__WT1,PANC-1,0.9994455,generated
PANC-1__WT3,PANC-1,0.9998827,generated
Hela__WT2,Hela,0.9994473,generated
Hela__WT1,Hela,0.99901164,generated
Hela__WT2,Hela,0.99868757,generated
PANC-1__OE1,PANC-1,0.99735475,generated
PANC-1__OE3,PANC-1,0.9991825,generated
Hela__WT2,Hela,0.9984571,generated
PANC-1__WT3,PANC-1,0.92818487,generated
Hela__KO1,Hela,0.99935776,generated
PANC-1__WT3,PANC-1,0.9993344,generated
Hela__WT1,Hela,0.99948394,generated
PANC-1__WT2,PANC-1,0.9993005,generated
Hela__WT2,Hela,0.99995303,generated
Hela__WT2,Hela,0.99902344,generated
PANC-1__WT1,PANC-1,0.9957581,generated
PANC-1__OE1,PANC-1,0.99488235,generated
Hela__KO1,Hela,0.99989784,generated
PANC-1__WT3,PANC-1,0.9998166,generated
PANC-1__OE2,PANC-1,0.9992756,generated
Hela__KO3,Hela,0.9998394,generated
PANC-1__WT1,PANC-1,0.99822026,generated
PANC-1__OE2,PANC-1,0.9998011,generated
Hela__KO1,Hela,0.99960154,generated
PANC-1__OE3,PANC-1,0.99891734,generated
Hela__KO2,Hela,0.9996915,generated
Hela__KO3,Hela,0.99891317,generated
PANC-1__WT2,PANC-1,0.98582363,generated
PANC-1__OE3,PANC-1,0.99177116,generated
PANC-1__WT3,PANC-1,0.99888116,generated
PANC-1__WT2,PANC-1,0.9983564,generated
PANC-1__OE2,PANC-1,0.9990482,generated
Hela__WT3,Hela,0.99996686,generated
PANC-1__OE3,PANC-1,0.9990645,generated
Hela__KO1,Hela,0.9987186,generated
PANC-1__WT2,PANC-1,0.9994727,generated
Hela__KO2,Hela,0.99906427,generated
Hela__KO2,Hela,0.998618,generated
PANC-1__WT3,PANC-1,0.93730813,generated
Hela__KO1,Hela,0.9996718,generated
PANC-1__OE2,PANC-1,0.9978661,generated
Hela__KO3,Hela,0.99898857,generated
Hela__KO2,Hela,0.99988127,generated
PANC-1__WT3,PANC-1,0.99815,generated
Hela__KO2,Hela,0.999134,generated
PANC-1__WT3,PANC-1,0.99971455,generated
Hela__WT2,Hela,0.9999081,generated
PANC-1__WT1,PANC-1,0.9975255,generated
Hela__KO2,Hela,0.99993694,generated
Hela__KO3,Hela,0.9998165,generated
PANC-1__WT2,PANC-1,0.98801035,generated
Hela__WT2,Hela,0.9995529,generated
PANC-1__OE1,PANC-1,0.9946668,generated
Hela__WT2,Hela,0.9972886,generated
Hela__KO2,Hela,0.99977475,generated
PANC-1__OE2,PANC-1,0.9981293,generated
Hela__KO1,Hela,0.99905556,generated
PANC-1__OE3,PANC-1,0.99965215,generated
PANC-1__OE3,PANC-1,0.99691063,generated
Hela__WT3,Hela,0.99987876,generated
Hela__KO3,Hela,0.99967456,generated
Hela__KO3,Hela,0.9992155,generated
PANC-1__OE1,PANC-1,0.994445,generated
PANC-1__OE3,PANC-1,0.99996257,generated
PANC-1__OE3,PANC-1,0.749338,generated
PANC-1__WT2,PANC-1,0.98981106,generated
PANC-1__WT1,PANC-1,0.9989749,generated
Hela__KO2,Hela,0.9972772,generated
PANC-1__OE3,PANC-1,0.9974355,generated
PANC-1__OE2,PANC-1,0.9994892,generated
Hela__WT3,Hela,0.99992,generated
PANC-1__WT1,PANC-1,0.96732974,generated
PANC-1__WT2,PANC-1,0.9963865,generated
Hela__WT2,Hela,0.99992144,generated
Hela__KO3,Hela,0.9997408,generated
Hela__KO2,Hela,0.9999145,generated
PANC-1__WT3,PANC-1,0.99814475,generated
Hela__WT3,Hela,0.99983656,generated
Hela__WT1,Hela,0.999796,generated
PANC-1__OE1,PANC-1,0.9988649,generated
PANC-1__WT3,PANC-1,0.9994981,generated
PANC-1__WT3,PANC-1,0.99977857,generated
PANC-1__OE3,PANC-1,0.99777824,generated
PANC-1__WT2,PANC-1,0.9989864,generated
PANC-1__OE1,PANC-1,0.99970907,generated
PANC-1__OE3,PANC-1,0.9908013,generated
PANC-1__WT1,PANC-1,0.9869848,generated
PANC-1__WT3,PANC-1,0.9971499,generated
Hela__WT1,Hela,0.99741036,generated
PANC-1__WT3,PANC-1,0.9954117,generated
Hela__KO2,Hela,0.9993512,generated
PANC-1__WT2,PANC-1,0.9979207,generated
PANC-1__WT2,PANC-1,0.99629456,generated
PANC-1__OE3,PANC-1,0.978555,generated
Hela__WT3,Hela,0.99914575,generated
PANC-1__WT2,PANC-1,0.9771463,generated
PANC-1__WT3,PANC-1,0.99840647,generated
PANC-1__WT1,PANC-1,0.99782914,generated
Hela__WT1,Hela,0.99985564,generated
PANC-1__WT1,PANC-1,0.99669695,generated
Hela__WT2,Hela,0.99941254,generated
Hela__WT3,Hela,0.999811,generated
PANC-1__OE3,PANC-1,0.9988906,generated
Hela__WT2,Hela,0.9997179,generated
Hela__WT2,Hela,0.99373806,generated
PANC-1__OE2,PANC-1,0.9993949,generated
Hela__WT3,Hela,0.99991,generated
Hela__KO2,Hela,0.9949479,generated
PANC-1__OE3,PANC-1,0.9995608,generated
Hela__WT2,Hela,0.9997304,generated
Hela__WT1,Hela,0.99993205,generated
Hela__WT1,Hela,0.9996382,generated
PANC-1__WT2,PANC-1,0.9929858,generated
PANC-1__OE3,PANC-1,0.99979323,generated
PANC-1__WT2,PANC-1,0.9993993,generated
Hela__KO3,Hela,0.99980885,generated
Hela__WT2,Hela,0.9999299,generated
PANC-1__OE1,PANC-1,0.9351091,generated
PANC-1__OE2,PANC-1,0.9985416,generated
PANC-1__OE3,PANC-1,0.9996654,generated
Hela__KO1,Hela,0.99991477,generated
PANC-1__WT2,PANC-1,0.9998821,generated
PANC-1__WT1,PANC-1,0.9816533,generated
PANC-1__WT2,PANC-1,0.9983171,generated
PANC-1__WT1,PANC-1,0.99972886,generated
PANC-1__WT2,PANC-1,0.99964297,generated
Hela__KO2,Hela,0.9996082,generated
PANC-1__WT1,PANC-1,0.999411,generated
Hela__WT2,Hela,0.99974066,generated
PANC-1__WT3,PANC-1,0.9994779,generated
PANC-1__WT2,PANC-1,0.9972963,generated
PANC-1__WT1,PANC-1,0.9998258,generated
Hela__KO3,Hela,0.9998254,generated
PANC-1__WT2,PANC-1,0.99809283,generated
PANC-1__OE1,PANC-1,0.99976176,generated
PANC-1__WT1,PANC-1,0.9979253,generated
PANC-1__OE2,PANC-1,0.8755831,generated
PANC-1__OE2,PANC-1,0.99475175,generated
Hela__KO3,Hela,0.99988663,generated
PANC-1__OE3,PANC-1,0.99846303,generated
PANC-1__WT3,PANC-1,0.9914278,generated
PANC-1__WT3,PANC-1,0.9973717,generated
PANC-1__OE1,PANC-1,0.9846096,generated
Hela__KO1,Hela,0.9994709,generated
Hela__WT3,Hela,0.99993765,generated
PANC-1__WT1,PANC-1,0.9990421,generated
Hela__WT3,Hela,0.99992824,generated
PANC-1__OE3,PANC-1,0.9697072,generated
Hela__WT1,Hela,0.9992848,generated
PANC-1__OE1,PANC-1,0.9922218,generated
Hela__WT2,Hela,0.9955766,generated
PANC-1__OE3,PANC-1,0.9997265,generated
Hela__KO2,Hela,0.97705543,generated
Hela__KO2,Hela,0.9997037,generated
Hela__KO1,Hela,0.99927586,generated
PANC-1__WT2,PANC-1,0.9997633,generated
Hela__KO3,Hela,0.9998596,generated
Hela__KO1,Hela,0.9997862,generated
PANC-1__OE2,PANC-1,0.99942744,generated
PANC-1__WT1,PANC-1,0.9998338,generated
Hela__WT3,Hela,0.9998573,generated
PANC-1__OE2,PANC-1,0.98297715,generated
Hela__KO1,Hela,0.9997638,generated
PANC-1__OE2,PANC-1,0.98907244,generated
PANC-1__OE3,PANC-1,0.99886584,generated
PANC-1__OE3,PANC-1,0.9942216,generated
PANC-1__WT1,PANC-1,0.8914542,generated
PANC-1__WT2,PANC-1,0.99754685,generated
Hela__WT3,Hela,0.99972564,generated
PANC-1__OE1,PANC-1,0.9995763,generated
PANC-1__WT3,PANC-1,0.9997687,generated
Hela__WT2,Hela,0.99968517,generated
Hela__WT1,Hela,0.9995346,generated
Hela__WT3,Hela,0.99944276,generated
Hela__WT3,Hela,0.9932927,generated
Hela__WT1,Hela,0.9997814,generated
PANC-1__WT3,PANC-1,0.99553645,generated
Hela__WT2,Hela,0.9999038,generated
Hela__KO2,Hela,0.9996706,generated
PANC-1__WT1,PANC-1,0.9983748,generated
PANC-1__WT1,PANC-1,0.9760109,generated
Hela__WT3,Hela,0.9997789,generated
Hela__WT1,Hela,0.9991609,generated
Hela__WT3,Hela,0.99981815,generated
Hela__KO3,Hela,0.99987733,generated
Hela__WT3,Hela,0.999052,generated
Hela__KO3,Hela,0.9988098,generated
Hela__KO1,Hela,0.99980146,generated
PANC-1__WT2,PANC-1,0.99852365,generated
PANC-1__OE2,PANC-1,0.99980944,generated
Hela__WT1,Hela,0.9999237,generated
Hela__WT3,Hela,0.99962914,generated
PANC-1__OE1,PANC-1,0.9967553,generated
PANC-1__OE2,PANC-1,0.9927717,generated
Hela__WT3,Hela,0.99991107,generated
Hela__KO2,Hela,0.99921846,generated
Hela__WT1,Hela,0.99923444,generated
PANC-1__WT1,PANC-1,0.999723,generated
PANC-1__OE1,PANC-1,0.99812144,generated
PANC-1__WT2,PANC-1,0.9998118,generated
Hela__KO3,Hela,0.99958175,generated
PANC-1__OE3,PANC-1,0.9990816,generated
PANC-1__WT3,PANC-1,0.9998223,generated
Hela__WT1,Hela,0.9996809,generated
PANC-1__WT1,PANC-1,0.9973284,generated
PANC-1__WT1,PANC-1,0.9970336,generated
PANC-1__OE3,PANC-1,0.9974936,generated
Hela__WT2,Hela,0.9981699,generated
Hela__WT2,Hela,0.99970216,generated
PANC-1__OE1,PANC-1,0.99884367,generated
PANC-1__WT1,PANC-1,0.99712723,generated
Hela__KO3,Hela,0.99958915,generated
PANC-1__WT3,PANC-1,0.993381,generated
Hela__WT1,Hela,0.9997967,generated
Hela__WT1,Hela,0.99993753,generated
Hela__WT3,Hela,0.9996991,generated
PANC-1__OE3,PANC-1,0.998434,generated
PANC-1__WT2,PANC-1,0.9998926,generated
PANC-1__OE2,PANC-1,0.998104,generated
PANC-1__OE2,PANC-1,0.9996346,generated
Hela__WT3,Hela,0.99966943,generated
PANC-1__OE3,PANC-1,0.99960405,generated
Hela__KO1,Hela,0.99684876,generated
PANC-1__WT3,PANC-1,0.91824913,generated
PANC-1__OE2,PANC-1,0.9991405,generated
Hela__WT2,Hela,0.99359435,generated
PANC-1__WT2,PANC-1,0.9991861,generated
Hela__WT3,Hela,0.99989736,generated
Hela__KO3,Hela,0.9809496,generated
PANC-1__WT1,PANC-1,0.9996387,generated
Hela__WT1,Hela,0.9997192,generated
Hela__KO2,Hela,0.9999784,generated
PANC-1__OE3,PANC-1,0.98685557,generated
Hela__WT1,Hela,0.9995975,generated
PANC-1__OE3,PANC-1,0.9975362,generated
PANC-1__OE2,PANC-1,0.99827313,generated
Hela__WT1,Hela,0.9997315,generated
Hela__KO1,Hela,0.99976283,generated
Hela__KO1,Hela,0.99958056,generated
Hela__WT1,Hela,0.9998281,generated
PANC-1__OE2,PANC-1,0.99175584,generated
PANC-1__OE1,PANC-1,0.99953794,generated
Hela__KO2,Hela,0.99836475,generated
Hela__WT1,Hela,0.9953726,generated
Hela__KO3,Hela,0.99813807,generated
Hela__KO2,Hela,0.9934331,generated
PANC-1__OE3,PANC-1,0.9986738,generated
PANC-1__WT2,PANC-1,0.96385676,generated
PANC-1__OE3,PANC-1,0.99938107,generated
Hela__WT2,Hela,0.99941015,generated
Hela__WT3,Hela,0.99974304,generated
Hela__KO2,Hela,0.9995115,generated
PANC-1__OE2,PANC-1,0.99925894,generated
PANC-1__WT2,PANC-1,0.9981933,generated
PANC-1__WT2,PANC-1,0.99921024,generated
PANC-1__WT2,PANC-1,0.99556893,generated
PANC-1__WT1,PANC-1,0.9953092,generated
Hela__WT2,Hela,0.99978024,generated
PANC-1__OE1,PANC-1,0.99098957,generated
Hela__WT2,Hela,0.99972004,generated
PANC-1__OE1,PANC-1,0.9929005,generated
Hela__WT1,Hela,0.9960288,generated
Hela__KO1,Hela,0.9993876,generated
PANC-1__WT3,PANC-1,0.9996836,generated
Hela__WT3,Hela,0.9991449,generated
Hela__KO1,Hela,0.9998073,generated
Hela__WT1,Hela,0.99977785,generated
Hela__KO2,Hela,0.9996406,generated
PANC-1__OE1,PANC-1,0.99568605,generated
Hela__KO3,Hela,0.99970514,generated
Hela__WT2,Hela,0.9994635,generated
Hela__KO2,Hela,0.9999367,generated
Hela__WT1,Hela,0.9990471,generated
PANC-1__WT3,PANC-1,0.9918406,generated
PANC-1__WT2,PANC-1,0.993548,generated
PANC-1__WT3,PANC-1,0.93879193,generated
Hela__KO2,Hela,0.9999145,generated
PANC-1__WT3,PANC-1,0.994284,generated
PANC-1__OE1,PANC-1,0.99952555,generated
Hela__WT3,Hela,0.9999627,generated
PANC-1__WT1,PANC-1,0.989755,generated
Hela__KO1,Hela,0.9995478,generated
Hela__KO2,Hela,0.9999218,generated
PANC-1__OE3,PANC-1,0.99916434,generated
Hela__KO1,Hela,0.99961984,generated
